Exact_name,Market_cap,Short_name,Today_rank,Today_rate
Evotion,355120,EVO,891,0.110585
Nevacoin,345119,NEVA,896,0.135381
Compucoin,364702,CPN,889,0.018593
Fuzzballs,371234,FUZZ,887,0.076861
Globaltoken,362381,GLT,890,0.012956
Creatio,376603,XCRE,886,0.018353
Cannation,380986,CNNC,883,0.153816
Songcoin,378868,SONG,884,0.011634
Honey,394187,HONEY,882,0.979425
Cachecoin,397107,CACH,881,0.094659
Briacoin,424208,BRIA,879,0.639300
Flaxscript,367505,FLAX,888,0.065688
Virtacoinplus,433892,XVP,878,0.039702
Icobid,488144,ICOB,861,0.004560
Rupaya,413348,RUPX,880,0.067030
Beatcoin,452133,XBTS,874,0.296542
Marijuanacoin,454136,MAR,873,0.278338
Spacecoin,469150,SPACE,869,0.021913
Eryllium,467682,ERY,871,0.083272
Votecoin,468757,VOT,870,0.028453
Independent Money System,480257,IMS,864,0.089451
Ronpaulcoin,482939,RPC,863,0.531620
Mustangcoin,480192,MST,865,0.761794
Reecoin,489900,REE,860,0.000191
Rubies,474811,RBIES,866,0.045588
Bitgem,487607,BTG,862,8.13
Eurocoin,503940,EUC,859,0.040586
Prime-Xi,521580,PXI,857,0.027936
Sixeleven,511736,,858,1.17
Kayicoin,536791,KAYI,854,0.001888
Catcoin,528258,CAT,855,0.084058
Darsek,538933,KED,853,0.032621
808Coin,581241,,847,0.000146
Starcash Network,573167,STARS,850,0.668122
Globalboost-Y,576101,BSTY,849,0.042448
Marscoin,576166,MARS,848,0.020374
Bitcoal,551111,COAL,851,0.122469
Philosopher Stones,585237,PHS,845,0.097307
Motocoin,598519,MOTO,842,0.032314
Zurcoin,585532,ZUR,844,0.006680
Cannacoin,611841,CCN,840,0.130151
Yenten,584556,YTN,845,0.201517
Gameunits,601604,UNITS,841,0.173224
Virtualcoin,615159,VC,838,0.061123
Emerald Crypto,623624,EMD,835,0.032621
Litecoin Plus,612571,LCP,839,0.653648
Sativacoin,629283,STV,833,0.088774
Hexx,623798,HXX,834,0.412345
Bumbacoin,633707,BUMBA,832,0.028028
Gapcoin,642209,GAP,831,0.051882
Coin2.1,644653,C,830,0.008239
Mincoin,654659,MNC,829,0.157243
Quatloo,658287,QTL,827,0.085283
Tagcoin,663510,TAG,825,0.108310
Parallelcoin,690244,DUO,822,2.20
Bolivarcoin,693150,BOLI,821,0.077994
Litebitcoin,693222,LBTC,820,0.023953
Berncash,685560,BERN,823,0.009624
Helleniccoin,705739,HNC,819,0.010882
Aquariuscoin,657881,ARCO,828,0.421141
Goldreserve,726475,XGR,817,0.042307
Revolvercoin,725358,XRE,818,0.032287
Bitcoin Fast,757285,BCF,815,0.137388
Mineum,741330,MNM,817,0.078561
Evil Coin,777750,EVIL,814,0.037000
Argentum,811618,ARG,810,0.091621
Zozocoin,789255,ZZC,813,1.34
Ratecoin,809222,XRA,811,0.006893
Elcoin,818187,EL,809,0.072994
Chesscoin,846910,CHESS,805,0.015674
C-Bit,831229,XCT,808,0.005273
Onix,842012,ONX,807,0.030694
Redcoin,849832,RED,804,0.011468
Postcoin,851001,POST,803,0.053629
Sooncoin,797828,SOON,803,0.064018
Phoenixcoin,871742,PXC,801,0.013694
Swing,897171,SWING,795,0.305261
Chancoin,880731,CHAN,799,0.122469
8Bit,898173,BIT,794,0.611901
Ethereum Dark,892397,ETHD,797,0.594931
Sterlingcoin,908256,SLG,792,0.214949
Xios,940940,XIOS,791,0.437710
Paycoin,902665,XPY,793,0.076208
Chronos,891705,CRX,798,0.012094
Veltor,944968,VLT,790,1.70
Grimcoin,961770,GRIM,788,0.020663
Blakecoin,958018,BLC,789,0.063350
Crave,1034974,CRAVE,782,0.692159
Adcoin,987814,ACC,785,0.177809
Tigercoin,969434,TGC,787,0.022267
Hicoin,1036874,XHI,781,0.005465
Coin(O),1042316,CNO,779,0.009909
Whalecoin,1070112,WHL,776,0.178459
Mojocoin,1076703,MOJO,775,0.088566
Kushcoin,1064751,KUSH,777,0.194449
Pioneer Coin,1082285,PCOIN,773,0.598315
Digicube,1081787,CUBE,774,0.000445
Titcoin,1083999,TIT,772,0.021724
Dashcoin,1113172,DSH,770,0.063339
Pakcoin,1150982,PAK,764,0.024260
Platinumbar,1163838,XPTX,763,2.23
Nekonium,1101813,NUKO,771,0.122580
Goldblocks,1202353,GB,760,0.078456
Litebar,1184094,LTB,761,1.39
Truckcoin,1203477,TRK,759,0.007237
Hitcoin,1224275,HTC,758,0.000111
Ammo Reloaded,1229636,AMMO,757,0.015810
Madcoin,1238895,MDC,756,0.680857
Joulecoin,1257993,XJO,755,0.036098
Biblepay,1280030,BBP,753,0.003451
Opal,1280421,OPAL,752,0.084544
Trumpcoin,1258288,TRUMP,754,0.192075
Happycoin,1290195,HPC,751,0.096397
Triangles,1292106,TRI,750,12.41
Unicoin,1296374,UNIC,749,0.434875
Octocoin,1335359,,746,0.025774
Debitcoin,195777,DBTC,931,0.010877
Bitcurrency,1416170,BTCR,741,0.008350
Coinonatx,1603064,XCXT,735,0.088665
Macron,1522764,MCRN,739,0.003793
Visio,1570620,VISIO,738,0.030847
Atomic Coin,1618345,ATOM,733,0.117619
Sagacoin,1610411,SAGA,734,7.26
Bigup,1625250,BIGUP,732,0.000763
Netko,1644503,NETKO,731,0.351864
Fantomcoin,1676580,FCN,729,0.244937
Trollcoin,1714328,TROLL,726,0.003017
Dfscoin,1711046,DFS,727,0.102285
Purevidz,1725341,VIDZ,724,0.013772
Kurrent,1720982,KURT,725,0.028045
Eternity,1733004,ENT,723,0.419845
Rimbit,1753812,RBT,721,0.008876
Swagbucks,1734686,BUCKS,722,4.99
Hobonickels,1821290,HBN,717,0.028390
Bitstar,1793515,BITS,719,0.077710
Fuelcoin,1822388,FC,716,0.017925
Supercoin,1814065,SUPER,718,0.037822
Deutsche Emark,1827018,DEM,715,0.053844
Blakestar,1840171,BLAS,713,0.006967
Altcommunity Coin,1848811,ALTCOM,711,8.93
Orbitcoin,1841246,ORB,712,0.588517
Woodcoin,1788305,LOG,720,0.222559
Capricoin,1881464,CPC,708,0.945438
Gaia,1875647,GAIA,709,0.077823
Aricoin,1889546,ARI,706,0.013472
Teslacoin,1893663,TES,705,0.025607
Machinecoin,1942778,MAC,702,0.095329
Qubitcoin,1963265,"Q,C",698,0.007905
Kobocoin,1956445,KOBO,699,0.079208
Nyancoin,1952909,NYAN,701,0.006123
Daxxcoin,1966538,DAXX,697,0.003897
I0Coin,1986145,"I,C",696,0.094635
Zennies,1993409,ZENI,695,0.001992
Smartcoin,2020877,SMC,692,0.084908
Bitbar,1883816,BTB,707,52.31
Iticoin,2022550,ITI,691,63.20
Amsterdamcoin,2018628,AMS,694,0.040210
Hodlcoin,2031229,HODL,690,0.012360
Cryptocarbon,2077637,CCRB,689,0.583260
Quazarcoin,522667,QCN,856,0.077935
Piggycoin,2091549,PIGGY,688,0.004276
Growers International,2198988,GRWI,681,1.87
Elementrem,2108030,ELE,686,0.081275
Inflationcoin,2114881,IFLT,685,0.000058
Guncoin,2184554,GUN,682,0.010911
Ultracoin,2095437,UTC,687,0.045981
Zetacoin,2448253,ZET,671,0.014619
Scorecoin,2385448,SCORE,674,0.057154
Lanacoin,2201559,LANA,680,0.002560
Steneum Coin,2567445,STN,669,1.21
Petrodollar,2275051,XPD,676,0.035551
Skeincoin,2612936,SKC,666,0.196840
Kekcoin,2592243,KEK,667,0.246719
Mazacoin,2702433,MZC,663,0.002561
Influxcoin,2679405,INFX,664,1.60
Incakoin,2816424,NKA,658,0.000223
Abjcoin,2715453,ABJ,662,0.328541
Desire,2726910,DSR,660,2.69
Moin,2816765,MOIN,657,0.381424
Cream,2800435,CRM,659,0.062228
Droxne,2828279,DRXNE,655,0.042864
Fastcoin,2864815,FST,654,0.018257
Bytecent,2869668,BYC,653,1.46
Tittiecoin,2940966,TTC,652,0.002334
Netcoin,2979582,NET,650,0.003785
42-Coin,2984157,,649,71051.40
Megacoin,2967448,MEC,651,0.080806
Unbreakablecoin,2990641,UNB,648,1.31
Cryptonite,3068780,XCN,645,0.007924
Renos,3037127,RNS,647,0.091052
Digitalcoin,3050286,DGC,645,0.109289
Litedoge,3284929,LDOGE,637,0.000220
Halcyon,3102397,HAL,643,0.568254
Canada Ecoin,3242603,CDN,639,0.033286
Copico,3119431,XCPO,642,0.198101
Fluttercoin,3401461,FLT,636,0.007793
Bata,3509969,BTA,634,0.702739
Bitradio,3567326,BRO,632,0.588870
Arcticcoin,3577573,ARC,630,0.145266
Cryptojacks,3621546,CJ,628,0.008908
Leviarcoin,3869775,XLC,624,0.370412
Fujicoin,3890717,FJC,622,0.003040
Aurumcoin,3201995,AU,640,10.77
Unitus,3723163,UIS,626,0.079579
Popularcoin,3804472,POP,625,0.001116
Bitcoin Scrypt,3575998,BTCS,631,0.215322
Draftcoin,3954311,DFT,620,1.41
Carboncoin,3947682,CARBON,621,0.000256
Linx,3870365,LINX,623,0.243188
Unify,4085388,UNIFY,618,0.229137
Version,3985372,V,619,0.008350
Worldcoin,4101056,WDC,615,0.034797
Campuscoin,4233619,CMPCO,614,0.012765
Greencoin,4321712,GRE,613,0.001156
Digitalprice,4584295,DP,609,0.252361
Crypto Bullion,4624270,CBX,607,4.59
Ixcoin,4698483,IXC,603,0.223747
Centurion,4580435,CNT,610,0.062000
Luckchain,4621903,BASH,608,0.006456
Thegcccoin,5067232,GCC,595,0.008907
Dinastycoin,4394311,DCY,612,0.003006
Footy Cash,4729137,XFT,602,1.03
Condensate,4693599,RAIN,604,0.046183
Anoncoin,4934237,ANC,597,2.34
Adzcoin,4969308,ADZ,596,0.114150
Gcn Coin,5070511,GCN,594,0.000034
Denarius,5235111,DNR,591,2.36
Equitrader,5534750,EQT,587,0.548129
Parkbyte,5336996,PKB,589,1.12
Yocoin,5170742,YOC,593,0.046944
Martexcoin,5593951,MXT,585,1.95
Huntercoin,5569931,HUC,586,0.264421
Ellaism,5830345,ELLA,581,1.39
Bluecoin,5920908,BLU,579,0.010303
Karbo,6060236,KRB,572,1.16
E-Gulden,5968889,EFL,576,0.365629
Eboost,5711496,EBST,583,0.475958
Quark,5921407,QRK,578,0.023292
Op Coin,5785281,OPC,582,0.092408
Evergreencoin,6376680,EGC,567,0.478683
Straks,6412732,STAK,566,5.79
Force,6148062,FOR,570,0.056208
Monkey Project,6267102,MONK,568,17.64
Zephyr,6019752,ZEPH,573,0.047779
